Epoch,Baseline,B=1,B=0.9,B=.67,B=.4,B=.2,B=.1
1,36.31,71.16,41.04,34.84,35.94,35.66,35.24
2,34.16,60.22,35.96,30.4,30.98,30.24,30.84
3,30.58,53.42,34.04,27.92,28.24,29.88,30.12
4,29.5,47.82,31.7,27.9,27.02,27.98,29.16
5,29.38,47.88,30.3,26.66,26.16,25.96,26.26
6,28.69,43.86,30.68,25.38,25.42,26.06,26.12
7,27.5,42.58,29.2,24.48,23.82,25.18,26.06
8,27.85,40.7,28.4,24.34,23.16,25.54,25.06
9,27.95,39.74,28.18,25.84,23.72,25.06,25.16
10,27.28,38.2,27.94,23.86,22.78,24.98,25
11,26.37,37.62,27.86,24.12,22.56,25.12,24.66
12,26.35,37.48,27.22,24.84,22.54,24.7,24
13,26.16,37.46,28.3,24.66,22.64,24.24,24.48
14,26.13,37.52,27.64,24.1,22.38,24.9,24.12
15,26.1,36.14,26.52,24.46,21.76,24.3,24.48
16,26.03,36.38,26.84,24.54,22.48,24.24,23.64
17,26.25,35.9,26.62,24.48,22.58,24.44,23.78
18,26.15,35.96,26.76,24,21.76,23.8,24.56
19,25.98,35.86,26.66,23.14,21.94,23.1,23.9
20,25.74,36.22,27.12,24.02,22.56,22.96,23.4
21,25.73,34.62,27.82,22.44,21.9,23.54,23.78
22,25.14,35.06,26.1,22.78,21.6,23.36,23.48
23,25.66,34.32,26.6,23.04,22.1,23.88,23.32
24,25.45,33.62,26,23.8,22.6,23.72,24.08
25,26.47,35.36,27.12,22.84,21.82,23.08,24.2
26,25.16,33.16,25.8,22.86,22.86,22.74,23.4
27,25.77,33.86,27.56,23.08,22,23.64,24
28,25.5,32.84,25.76,22.44,21.42,22.76,23.54
29,25.59,32.68,25.44,23.1,21.16,23.58,23.18
30,25.3,33.1,26.94,24.16,20.98,23.18,22.68
31,25.24,32.52,26.04,23.72,21.88,22.72,22.28
32,25.09,33.02,25.72,22.9,21.16,23.06,23.02
33,24.95,32.98,25.12,23.5,22.62,22.76,22.6
34,25.46,33.4,25.16,23.32,21.06,23.1,23.08
35,25.01,33.96,24.88,23.06,21.28,22.8,23.18
36,25.23,32.1,25.56,22.3,21.84,22.36,22.7
37,24.76,32.94,26.86,23.2,21.98,22.92,22.84
38,24.84,33.42,25.96,21.76,21.72,22.42,23.14
39,24.71,32.3,25,21.48,21.62,22.32,22.5
40,24.5,31.7,24.94,22.72,21.34,22.94,22.42
41,24.41,32.52,24.94,22.32,20.52,23.02,22.9
42,25.23,32.56,25.52,22.98,20.6,22.6,22.22
43,24.69,32.4,25.46,22.06,21.22,22.2,23.44
44,24.21,32.9,25.6,23.08,21.66,22.32,22.8
45,24.1,31.98,25.4,23.62,20.7,21.72,22.82
46,24.34,31.8,24.6,22.72,20.78,22.72,22.64
47,23.72,31.22,25.7,22.22,20.36,22.36,22.42
48,24.28,33.16,24.8,21.98,20.02,21.84,22.62
49,24.84,32.14,24.3,22.26,20.38,21.76,22.26
50,24.63,32.28,25.12,21.7,21.1,22.5,22.96
51,23.46,32.3,24.6,20.76,20.56,21.04,21.28
52,23.97,30.94,23.84,20.84,19.74,21.26,22.14
53,23.72,30.98,23.22,21.46,20.16,21.04,21.76
54,23.46,30.12,23.86,20.98,19.92,20.54,21.9
55,23.29,30.52,23.56,20.72,19.82,20.96,21.2
56,23.38,31.66,23.84,20.9,19.38,21.14,22.4
57,23.22,30.98,23.82,21.22,20.16,21.46,21.3
58,23.43,31.1,24.48,21.9,20.2,20.58,21.56
59,23.76,31.52,23.6,21,20.02,21.08,20.74
60,23.02,31.06,23.58,21.4,19.82,20.94,21.4
61,23.29,29.92,24.74,21.46,19.78,21.64,21.86
62,22.9,30.96,23.94,20.94,19.82,21,22.14
63,23.28,30.84,23.96,20.88,19.76,20.84,21.44
64,23.74,30.74,23.98,21.38,19.72,20.94,22.04
65,23.65,30.48,24.06,21.72,20.14,20.56,21.86
66,23.2,30.9,24.24,20.9,19.86,20.88,21.24
67,23.38,31.26,23.64,21.8,19.48,21.34,21.38
68,23.63,29.96,23.48,21.36,19.82,21.72,21.36
69,23.32,30.16,23.34,21.06,19.14,21.1,20.96
70,23.28,30.98,23.66,20.98,20.46,22.46,21.88
71,24.1,30.76,23.74,21.04,19.52,20.68,21.5
72,23.3,31.1,23.74,21.14,19.82,21.02,21.4
73,23.55,30.5,23.72,21.56,19.62,20.8,21.4
74,23.25,30.58,23.3,21.7,19.4,20.52,21.42
75,23.6,29.62,24.18,21.16,19.92,21.18,21.62
76,22.72,28.08,22.42,20.12,19.34,20,20.76
77,22.7,27.58,22.36,19.84,18.76,19.94,20.4
78,22.45,27.08,22.18,19.54,18.64,19.58,20.7
79,22.52,27.34,21.78,19.56,18.8,19.48,20.52
80,22.42,27.18,21.68,19.44,18.96,19.46,20.56
81,22.55,27.28,21.6,19.68,18.44,19.7,20.28
82,22.48,27.64,21.4,19.74,18.58,19.74,20.08
83,22.37,27.44,21.68,19.64,18.62,19.3,20.42
84,22.41,27.04,21.4,19.74,18.58,19.52,20.26
85,22.36,27.22,21.2,19.68,18.56,19.62,20.42
86,22.13,27.44,21.54,19.7,18.4,19.42,19.88
87,22.26,27.18,21.34,19.84,18.32,19.32,20.18
88,22.38,27.4,21.36,19.62,18.6,19.26,20.42
89,22.21,27.34,21.2,19.84,18.44,19.46,20.14
90,22.29,27.22,21.3,19.86,18.38,19.4,20.34
91,22.3,27.22,21.2,19.6,18.3,19.26,20.16
92,22.4,27,21.1,19.72,18.22,19.18,20.24
93,22.38,27.5,20.9,19.48,18.54,19.28,20.16
94,22.34,27.2,20.92,19.46,18.5,19.38,20.06
95,22.45,27.14,20.9,19.58,18.36,19.4,20.1
96,22.27,27.3,20.9,19.48,18.32,19.32,20.06
97,22.17,27.36,21.24,19.62,18.24,19.44,20.08
98,22.23,27.06,20.82,19.24,18.42,19.34,20.1
99,22.35,27.04,21.24,19.42,18.14,19.38,20.1
100,22.18,27.14,20.9,19.52,18.4,19.34,19.94
