,Baseline1,Binary1,Baseline3,Binary3,Baseline3,Binary3.2,BaselineV2.2,BinaryV2.2,BaselineV2.3,BinaryV2.3,Baseline14,Binary14,Baseline14,Binary14.2,Baseline13,Binary13
1,77.24,81.08,77.28,82.66,77.28,79.46,78.9,76.82,79.18,81.06,78.88,80.4,78.88,81.54,81.3,81.96
2,69.86,71.9,64.08,68.46,64.08,70.36,66.88,71.42,72.54,71.46,73.64,72.44,73.64,75.16,70.08,74.72
3,62.42,59.08,56.14,60.22,56.14,61.04,61.36,62.08,63.54,65.4,62.1,65.84,62.1,64.28,63.8,65.14
4,51.38,53.18,50.18,53.52,50.18,57.96,56.1,57.06,54.7,58.4,55.42,60.32,55.42,60.96,60.08,59.32
5,44.58,46.96,45.08,49.26,45.08,52.98,49.62,55.74,50.88,53.06,56.78,59.48,56.78,55.84,52.28,55.14
6,48.08,46.2,42.34,46.16,42.34,48.06,49.62,52.2,46.9,47.54,49.66,49.7,49.66,50.42,49.4,50.18
7,42.08,46.86,48.38,47.1,48.38,44.82,46.5,51.68,44.04,46.46,46.58,48.14,46.58,48.26,46.4,47.32
8,40.18,43,42.14,41.8,42.14,41.36,42.26,48.3,43.72,44.68,43.84,46.06,43.84,48.84,45.6,51.44
9,37.36,41.48,35.6,38.28,35.6,42,39.66,47.7,42.48,44.96,45.36,48.7,45.36,47.12,43.3,47.72
10,36.84,39.9,39.56,40.6,39.56,40.88,43.84,44.32,42.34,41.64,40.48,44.98,40.48,45.86,43.3,45.26
11,36.9,42.52,38.9,39.84,38.9,36.76,40.36,43.52,39.66,41.62,39.74,43.54,39.74,44.32,43.88,40.92
12,37.06,39.94,39.5,36.96,39.5,41.04,42.22,38.08,42.9,40.48,41.16,40.92,41.16,41.94,40.74,39.92
13,34.62,36.1,37.64,42.18,37.64,36.16,37.56,40.92,37.98,40.26,40.62,39.22,40.62,39.44,40.2,37.8
14,35.56,35.16,34.7,38.9,34.7,37.16,37.3,42.34,37.42,35.84,37.5,42.36,37.5,40.24,37.74,37.38
15,35.36,37.94,35.7,35.2,35.7,36.66,41.52,37.78,38.14,35.52,40.48,39.46,40.48,42.04,42.78,35.86
16,32.74,34.56,33.64,35.08,33.64,33,38.32,40.28,34.64,35.64,41.46,39.84,41.46,38.24,40.48,37.12
17,32.28,34.76,33.08,36.66,33.08,38.38,34.66,37.82,34.5,36.44,36.78,40.7,36.78,41.94,36.32,37.22
18,33.54,36.3,34.66,34.04,34.66,37.32,35.36,35.5,35.84,35.14,36.66,40.7,36.66,39.86,37.9,35.44
19,34.7,35.02,32.94,36.08,32.94,35.2,35.14,36.12,35.06,36.68,35.72,39.22,35.72,37.32,37.1,34.14
20,30.86,34.78,29.76,33.86,29.76,34.14,38.54,39.48,38.48,37.1,38.66,42.54,38.66,35.6,37.18,33.82
21,33.44,32.08,33.5,31.96,33.5,34.54,35.62,33.22,34.38,35.8,38.4,36.36,38.4,36.68,36,34.68
22,30.68,34.68,32.12,36.62,32.12,33.32,35.48,34.1,36.92,33.9,36.94,35.76,36.94,34.8,35.1,34
23,31.78,31.96,35.7,35.32,35.7,34.86,31.66,37.08,34.86,31.34,35.32,36.4,35.32,37.42,37.66,36.06
24,36,33.6,30.36,33.44,30.36,31.92,31.9,34.36,34.06,34.16,34.82,36.66,34.82,34.92,38.72,33.24
25,31.48,36.64,33.04,34.84,33.04,34.56,32.98,34.6,35.5,31.68,34.94,36.92,34.94,36.84,35.6,35.34
26,33.3,31.78,36.1,31.2,36.1,33.38,32.92,34.88,32.68,31.2,33.04,37.96,33.04,36.98,36.72,35.54
27,32.38,32.28,31.66,33.26,31.66,34.36,33.52,34.74,31.7,33.78,35.64,35.2,35.64,35.08,35.48,33.36
28,31.94,34.6,29.8,30.2,29.8,34.6,32.86,33.58,37.12,34.04,37.92,37.1,37.92,35.18,40,34.24
29,30.44,31.88,31.02,33.14,31.02,32.3,30.26,31.76,32.9,31.36,35.02,36.3,35.02,35.02,34.36,30.84
30,30.66,30.42,32.04,32.32,32.04,31.5,33.7,33.26,33.84,32.7,33.52,34.66,33.52,36.76,36.28,32.3
31,33.42,33.9,28.68,30.5,28.68,30.76,31.22,35.4,35.24,32.5,34.36,34.78,34.36,35.54,34.4,31.8
32,37.36,34.16,29.9,36.16,29.9,31.52,31.98,37.48,31.24,34.72,34.38,33.6,34.38,32.94,34.28,33.34
33,33.32,32.6,30.66,28.92,30.66,32.94,32.24,31.44,32.26,32.7,32.86,34.22,32.86,36.28,33.64,31.44
34,30.66,32.96,31.1,30.2,31.1,30.78,31.32,34.9,36.86,31.28,33.22,34.12,33.22,32.7,34.7,34.4
35,31.26,31.94,31.32,30.28,31.32,32.72,31.58,30.9,32.2,31.64,33.5,31.52,33.5,33.3,33.42,31.1
36,33.12,31.28,29.88,32.7,29.88,28.76,33.24,31.86,30.9,31.4,35.76,33.74,35.76,37.8,36.6,31.54
37,31.14,32.5,33.6,29.32,33.6,32.28,32.94,34.14,31.14,34.26,32.8,33.38,32.8,33.94,34.66,31.1
38,28.7,32.92,32.72,28.86,32.72,31.06,29.24,32.42,31.36,35.08,36.5,35.18,36.5,35,33.22,29.86
39,29.88,32.3,31.78,33.4,31.78,30.5,33.92,32.12,32.56,35.4,32.78,33.56,32.78,35.56,35.02,30.02
40,28.26,31.66,29.54,29.02,29.54,28.92,31.42,32.6,30.96,28.8,35.36,32.8,35.36,32.48,34.34,32.38
41,29.84,31.74,29.6,29.92,29.6,30.42,31.7,34.36,30.48,30.76,33.88,35.42,33.88,33.84,36.3,33.74
42,32.98,34.08,30.68,30.82,30.68,31.24,32.8,30.9,30.34,32.38,31.4,35.32,31.4,34.5,33.3,33.36
43,27.68,31.62,29.02,30.7,29.02,32.72,32.82,29.62,34.84,30.72,31.72,32.66,31.72,33.56,33.32,29.94
44,32.16,30.36,31.48,32.3,31.48,32.26,30.48,30.12,32.8,31.54,32.52,34.04,32.52,33.14,34.34,27.4
45,27.88,28.9,30.94,30.58,30.94,29.38,33.74,31.62,31.08,29.6,35.6,33.46,35.6,32.58,37.58,30.44
46,33.4,30.62,29.86,27.14,29.86,30,30.88,29.88,29.98,32.26,30.82,33.7,30.82,35.3,33.74,32.52
47,30.5,30.68,29.1,28.5,29.1,31.54,32.42,30.96,32.56,31.96,32.96,32.6,32.96,33.16,35.72,30.34
48,29.86,32.1,32.7,27.26,32.7,29.3,33.64,32.14,33.76,31.9,34.76,33.56,34.76,34.12,34.76,30.1
49,27.72,30.24,28.4,28,28.4,30.56,30.3,30.26,31.74,30.32,30.4,36.32,30.4,33.72,36.56,30.58
50,31.7,29.7,28.04,31.2,28.04,31.2,32.6,34.78,32.12,30.18,32.06,34.88,32.06,31.62,32.84,32.28
51,31.08,31.68,29.64,27.84,29.64,28.86,31.16,30.76,29.08,30.38,34.58,31.66,34.58,36.12,32.28,28.18
