,Baseline,Binary[.4]
1,31.76,29.64
2,28.72,27.6
3,27.56,24
4,24.76,23.64
5,23.84,24.36
6,23.8,22.84
7,23.12,20.96
8,24.28,20.76
9,22.88,21.28
10,22.88,21.64
11,21.84,21.52
12,22.8,21.2
13,23.16,21.96
14,21.88,20.04
15,22.84,21.2
16,21.16,20.08
17,20.2,19.64
18,20.88,21.28
19,20.12,19.44
20,22.36,21.64
21,22.12,19.8
22,21.36,19.68
23,21.72,19.52
24,22.36,19.88
25,22.12,19.52
26,21.36,21.04
27,19.32,20.68
28,21.2,19.84
29,21.04,20.16
30,22.28,19.68
31,21.68,19.36
32,20.44,21.04
33,21.12,19.56
34,20.4,20.04
35,21.24,19.52
36,19.96,19.4
37,20.24,17.88
38,21.48,21.36
39,20.12,20.56
40,21.48,19.88
41,20.92,19.68
42,20.72,19.24
43,20.04,19.92
44,19.2,19.72
45,21.64,19.72
46,21.08,19.32
47,20.4,20.72
48,20.2,18.6
49,21.12,19.28
50,20.04,18.96
51,19.44,18.32
52,20.92,18.08
53,19.4,18.72
54,19.52,17.92
55,19.6,19.12
56,20.16,19.68
57,20.72,17.56
58,19.24,17.52
59,19.84,18.76
60,20.08,20.2
61,19.48,18.24
62,20.28,17.6
63,19.56,18.52
64,19.36,18.24
65,21.2,17.68
66,20.2,18.6
67,18.76,18.24
68,19.08,18.68
69,19.72,17.4
70,19.64,18.48
71,19.92,18.04
72,20.08,18.2
73,18.48,18.88
74,20.36,18.12
75,20.52,19.16
76,16.28,15.68
77,16.92,15.96
78,16.88,14.6
79,15,14.12
80,15.4,15.04
81,15.52,15.4
82,15.92,14.8
83,15.56,14.12
84,16.08,13.44
85,15.92,13.84
86,15.32,14
87,15.84,14.08
88,15.96,14.2
89,16.44,15.12
90,15.84,13.6
91,15.28,14.2
92,16.16,13.92
93,15.64,14.48
94,15.28,13.68
95,15,14.04
96,15.84,14.48
97,15.64,14.28
98,16.08,14.4
99,15.04,14.6
100,15.72,14.44
