,Baseline21,Binary21,Baseline3,Binary3
1,30.3,30.44,37.76,37.78
2,25.86,26.36,33.48,33.08
3,24.8,24.82,31.2,30.14
4,22.86,22.6,29.72,27.92
5,21.72,22.12,28.18,27.54
6,21.46,21.74,27.46,26.54
7,20.66,20.24,27.08,25.72
8,20.54,20.98,26.36,25.52
9,20.72,20.46,26.26,26.14
10,21.12,20.38,26.1,25.6
11,20.54,20.14,25.4,24.42
12,19.12,21,24.88,24.92
13,18.84,20.2,25.3,25.18
14,19.46,20.8,24.72,23.7
15,19.32,19.8,24.02,24.66
16,19.3,19.3,24.12,24.14
17,18.46,19.06,23.7,24.44
18,18.88,18.58,24.2,25.02
19,18.7,19.38,24.2,23.88
20,19.2,18.2,23.44,22.88
21,18.18,19.18,23.82,23.26
22,18.82,19.22,24.52,23.18
23,19.66,17.98,22.98,23.2
24,18.88,18.76,22.84,23.58
25,18.26,17.86,23.14,23.4
26,18.36,18.26,22.66,23.44
27,17.6,18.54,22.88,22.52
28,18.2,17.26,23.06,22.22
29,18.18,17.74,22.82,22.52
30,17.62,17.2,22.84,22.22
31,17.42,17.56,22.58,22.58
32,17.84,17.86,22.6,22.98
33,17.6,17.2,23.52,21.96
34,17.64,17.08,22.8,22.94
35,18.12,17.3,22.12,21.56
36,17.38,17.42,22.74,22.68
37,17.58,17.04,21.92,21.98
38,17.4,17.68,21.74,22.3
39,17.82,17.38,22.44,22.46
40,16.74,17.62,22.08,21.6
41,17.16,17.3,21.96,21.88
42,17.48,17.52,21.96,21.54
43,18.2,17.54,22.1,21.9
44,17.16,17.4,21.66,21.3
45,16.4,17.56,21.88,20.96
46,17.16,16.92,22.04,21.62
47,17.14,16.42,21.92,21.26
48,16.92,16.42,20.82,21.06
49,17.02,16.48,21.46,20.98
50,17.6,16.9,21.52,20.88
51,16.78,16.94,21.68,20.88
52,16.36,16.02,21.38,20.78
53,16.76,16.18,21.72,20.5
54,17,16.62,21.42,21.56
55,16.72,16.2,21.48,20.92
56,16.5,15.52,21.34,20.54
57,16.36,16.28,21.18,20.94
58,16.46,15.72,21.76,20.94
59,16.24,16.98,20.88,20.62
60,16.2,15.9,21.52,21.12
